device_id,population,attack_subtype,scenario_tag,label,split
dev_0000001,normal,,normal_standard,0,validation
dev_0000002,normal,,normal_standard,0,train
dev_0000003,normal,,normal_standard,0,train
dev_0000004,normal,,normal_standard,0,validation
dev_0000005,normal,,normal_standard,0,validation
dev_0000006,normal,,normal_standard,0,train
dev_0000007,normal,,normal_standard,0,train
dev_0000008,normal,,normal_standard,0,train
dev_0000009,normal,,normal_standard,0,train
dev_0000010,normal,,normal_standard,0,validation
dev_0000011,normal,,normal_standard,0,validation
dev_0000012,normal,,normal_standard,0,train
dev_0000013,normal,,normal_standard,0,train
dev_0000014,normal,,normal_standard,0,train
dev_0000015,normal,,normal_standard,0,train
dev_0000016,normal,,normal_standard,0,train
dev_0000017,normal,,normal_standard,0,train
dev_0000018,normal,,normal_standard,0,train
dev_0000019,normal,,normal_standard,0,train
dev_0000020,normal,,normal_standard,0,train
dev_0000021,normal,,normal_standard,0,train
dev_0000022,normal,,normal_standard,0,train
dev_0000023,normal,,normal_standard,0,train
dev_0000024,normal,,normal_standard,0,train
dev_0000025,normal,,normal_standard,0,validation
dev_0000026,normal,,normal_standard,0,train
dev_0000027,normal,,normal_standard,0,train
dev_0000028,normal,,normal_standard,0,validation
dev_0000029,normal,,normal_standard,0,train
dev_0000030,normal,,normal_standard,0,train
dev_0000031,normal,,normal_standard,0,train
dev_0000032,normal,,normal_standard,0,validation
dev_0000033,normal,,normal_standard,0,train
dev_0000034,normal,,normal_standard,0,validation
dev_0000035,normal,,normal_standard,0,train
dev_0000036,normal,,normal_standard,0,train
dev_0000037,normal,,normal_standard,0,train
dev_0000038,normal,,normal_standard,0,validation
dev_0000039,normal,,normal_standard,0,train
dev_0000040,normal,,normal_standard,0,validation
dev_0000041,normal,,normal_standard,0,train
dev_0000042,normal,,normal_standard,0,train
dev_0000043,normal,,normal_standard,0,train
dev_0000044,normal,,normal_standard,0,train
dev_0000045,normal,,normal_standard,0,validation
dev_0000046,normal,,normal_standard,0,train
dev_0000047,normal,,normal_standard,0,validation
dev_0000048,normal,,normal_standard,0,train
dev_0000049,normal,,normal_standard,0,train
dev_0000050,normal,,normal_standard,0,train
dev_0000051,normal,,normal_standard,0,train
dev_0000052,normal,,normal_standard,0,train
dev_0000053,normal,,normal_standard,0,train
dev_0000054,normal,,normal_standard,0,validation
dev_0000055,normal,,normal_standard,0,train
dev_0000056,normal,,normal_standard,0,train
dev_0000057,normal,,normal_standard,0,train
dev_0000058,normal,,normal_standard,0,train
dev_0000059,normal,,normal_standard,0,train
dev_0000060,normal,,normal_standard,0,train
dev_0000061,normal,,normal_standard,0,validation
dev_0000062,normal,,normal_standard,0,train
dev_0000063,normal,,normal_standard,0,train
dev_0000064,normal,,normal_standard,0,validation
dev_0000065,normal,,normal_standard,0,train
dev_0000066,normal,,normal_standard,0,train
dev_0000067,normal,,normal_standard,0,train
dev_0000068,normal,,normal_standard,0,train
dev_0000069,normal,,normal_standard,0,train
dev_0000070,normal,,normal_standard,0,validation
dev_0000071,normal,,normal_standard,0,train
dev_0000072,normal,,normal_standard,0,train
dev_0000073,normal,,normal_standard,0,train
dev_0000074,normal,,normal_standard,0,train
dev_0000075,normal,,normal_standard,0,train
dev_0000076,normal,,normal_standard,0,train
dev_0000077,normal,,normal_standard,0,train
dev_0000078,normal,,normal_standard,0,validation
dev_0000079,normal,,normal_standard,0,train
dev_0000080,normal,,normal_standard,0,train
dev_0000081,normal,,normal_standard,0,validation
dev_0000082,normal,,normal_standard,0,validation
dev_0000083,normal,,normal_standard,0,train
dev_0000084,normal,,normal_standard,0,train
dev_0000085,normal,,normal_standard,0,train
dev_0000086,normal,,normal_standard,0,train
dev_0000087,normal,,normal_standard,0,train
dev_0000088,normal,,normal_standard,0,train
dev_0000089,normal,,normal_standard,0,validation
dev_0000090,normal,,normal_standard,0,train
dev_0000091,normal,,normal_standard,0,train
dev_0000092,normal,,normal_standard,0,train
dev_0000093,normal,,normal_standard,0,train
dev_0000094,normal,,normal_standard,0,train
dev_0000095,normal,,normal_standard,0,train
dev_0000096,normal,,normal_standard,0,train
dev_0000097,normal,,normal_standard,0,train
dev_0000098,normal,,normal_standard,0,validation
dev_0000099,normal,,normal_standard,0,validation
dev_0000100,normal,,normal_standard,0,train
dev_0000101,normal,,normal_standard,0,validation
dev_0000102,normal,,normal_standard,0,train
dev_0000103,normal,,normal_standard,0,train
dev_0000104,normal,,normal_standard,0,train
dev_0000105,normal,,normal_standard,0,train
dev_0000106,normal,,normal_standard,0,validation
dev_0000107,normal,,normal_standard,0,train
dev_0000108,normal,,normal_standard,0,train
dev_0000109,normal,,normal_standard,0,train
dev_0000110,normal,,normal_standard,0,validation
dev_0000111,normal,,normal_standard,0,train
dev_0000112,normal,,normal_standard,0,train
dev_0000113,normal,,normal_standard,0,train
dev_0000114,normal,,normal_standard,0,validation
dev_0000115,normal,,normal_standard,0,train
dev_0000116,normal,,normal_standard,0,train
dev_0000117,normal,,normal_standard,0,train
dev_0000118,normal,,normal_standard,0,train
dev_0000119,normal,,normal_standard,0,train
dev_0000120,normal,,normal_standard,0,validation
dev_0000121,normal,,normal_standard,0,train
dev_0000122,normal,,normal_standard,0,train
dev_0000123,normal,,normal_standard,0,train
dev_0000124,normal,,normal_standard,0,train
dev_0000125,normal,,normal_standard,0,validation
dev_0000126,normal,,normal_standard,0,train
dev_0000127,normal,,normal_standard,0,train
dev_0000128,normal,,normal_standard,0,train
dev_0000129,normal,,normal_standard,0,train
dev_0000130,normal,,normal_standard,0,train
dev_0000131,normal,,normal_standard,0,validation
dev_0000132,normal,,normal_standard,0,train
dev_0000133,normal,,normal_standard,0,train
dev_0000134,normal,,normal_standard,0,train
dev_0000135,normal,,normal_standard,0,train
dev_0000136,normal,,normal_standard,0,validation
dev_0000137,normal,,normal_standard,0,validation
