split,scenario_tag,device_count,max_raw_p10,max_raw_p50,max_raw_p90,max_calibrated_p10,max_calibrated_p50,max_calibrated_p90
train_oof,attack_burst,480,0.693991459862283,0.694065979418845,0.694533414771829,1.0,1.0,1.0
train_oof,attack_evasive,360,0.693991459862283,0.694065979418845,0.694533414771829,1.0,1.0,1.0
train_oof,attack_patient,360,0.693991459862283,0.694065979418845,0.694533414771829,1.0,1.0,1.0
train_oof,flash_hard_retry,400,0.631587664637695,0.6387091977303,0.6469643879703015,0.349335641835684,0.355605623460261,0.431986722533011
train_oof,flash_standard,1200,0.306522288871933,0.306795191314848,0.49021392928154,0.0197803784516584,0.0214023203225729,0.0322360185291681
train_oof,normal_bad_luck,400,0.634950149880398,0.6432504643718665,0.648660579450949,0.349335641835684,0.364284303832114,0.817649088921216
train_oof,normal_standard,4800,0.306522288871933,0.306795191314848,0.490433215198785,0.0197803784516584,0.0214726416742738,0.0367255906405677
validation_development,attack_burst,120,0.6941205117566105,0.6941205117566105,0.6941205117566105,1.0,1.0,1.0
validation_development,attack_evasive,90,0.6941205117566105,0.6941205117566105,0.6941205117566105,1.0,1.0,1.0
validation_development,attack_patient,90,0.6941205117566105,0.6941205117566105,0.6941205117566105,1.0,1.0,1.0
validation_development,flash_hard_retry,100,0.6402381826295642,0.6402381826295642,0.6453866975837474,0.3698431791004424,0.3698431791004424,0.8105757732199775
validation_development,flash_standard,300,0.3070422389454159,0.3070422389454159,0.4030752263920213,0.020322087134446703,0.020322087134446703,0.052242690616273034
validation_development,normal_bad_luck,100,0.6423833595442807,0.6444619543000831,0.6517197667525623,0.3698431791004424,0.3698431791004424,0.8105757732199775
validation_development,normal_standard,1200,0.3070422389454159,0.3070422389454159,0.49069597366613005,0.020322087134446703,0.020322087134446703,0.052242690616273034
