fold,feature,mean,std
0,prior_attempts_5m,1.4356505401596993,2.2622759492941915
0,prior_attempts_1h,1.6972757162987318,2.4089132700579485
0,prior_attempts_24h,1.8104744011272897,2.4851947250944417
0,prior_attempts_7d,2.7249882573978392,3.645398025941591
0,prospective_requests_10s,1.5981681540629404,1.3173340394458277
0,prospective_requests_60s,2.0885392202912167,2.2247260173932824
0,distinct_cards_5m,1.610145608266792,1.1142025982962012
0,distinct_cards_1h,1.6984499765147958,1.1685336687037695
0,distinct_cards_24h,1.7470643494598403,1.2113499250478277
0,distinct_cards_7d,2.0246594645373417,1.5777114134902364
0,distinct_bins_5m,1.253640206669798,0.5427612298192734
0,distinct_bins_24h,1.3046031000469704,0.5828029964617316
0,cross_session_cards_24h,1.0563644903710663,0.36024960753632823
0,cross_session_cards_7d,1.3959605448567403,1.0807659740949753
0,prior_decline_streak,0.6449037106622828,1.0736441986457776
0,prior_decline_ratio_5m,0.2999800021136684,0.40421731068657035
0,prior_decline_ratio_24h,0.3468506000469704,0.4092420935049575
0,attempts_before_first_approval,0.6815406294034758,1.1118099968004704
0,attempts_after_first_approval,1.6031000469704086,3.04400576955102
0,seconds_since_previous_authorization,17098.151714419917,55820.4840806649
0,device_age_seconds,51339.00939408173,115321.26224970738
0,session_age_seconds,123.65852512916862,284.3828786704422
0,seconds_since_previous_session,38160.25364020667,79343.25224341628
0,sessions_24h,1.0194927195866603,0.13826511922173573
0,sessions_7d,1.292625645843119,0.6129501448144582
0,ip_changes_24h,0.25246594645373416,0.5246113604666894
0,devices_per_ip_5m,1.000939408172851,0.030638964597186423
0,requests_per_ip_5m,1.8149365899483325,1.1782790683065378
0,same_card_retry_ratio_24h,0.22398684335368718,0.3769972387056102
0,card_switches_after_decline_24h,0.3929074682949742,0.9200690659420512
0,current_amount,10.000934711131986,8.032524650576624
0,amount_delta_from_previous,-0.04135744480976982,9.033721823636032
0,amount_variation_24h,2.0520888715359322,3.7325645963554956
0,near_minimum_ratio_24h,0.04103700986378582,0.13782591444654368
0,prior_successful_checkouts,0.06176608736496007,0.26313532087607905
0,seconds_since_successful_checkout,9977.188351338657,45101.72241247018
0,campaign_active,0.23860967590418036,0.4262836793262091
1,prior_attempts_5m,1.4421516345930907,2.2879360565976357
1,prior_attempts_1h,1.7011361001623,2.41985469830838
1,prior_attempts_24h,1.905170415024345,2.7008474027406213
1,prior_attempts_7d,2.909343844191978,4.21097034027206
1,prospective_requests_10s,1.5358219336888477,1.2452800974723444
1,prospective_requests_60s,2.0598191514027357,2.166780240175662
1,distinct_cards_5m,1.6139578019939718,1.1563970400231869
1,distinct_cards_1h,1.7083236726176676,1.218582084208469
1,distinct_cards_24h,1.7871551124507303,1.3387863478753315
1,distinct_cards_7d,2.118247159749594,1.9089729259074888
1,distinct_bins_5m,1.2267563181080454,0.5173771445168835
1,distinct_bins_24h,1.2858798979828425,0.5807898158951179
1,cross_session_cards_24h,1.094829584975655,0.572283187985359
1,cross_session_cards_7d,1.497101785300255,1.4152146506782965
1,prior_decline_streak,0.6733132390447484,1.1319178515617416
1,prior_decline_ratio_5m,0.3094400992348713,0.4063296869926739
1,prior_decline_ratio_24h,0.3501074817992117,0.40669481404525604
1,attempts_before_first_approval,0.6628796661256666,1.0907167558110302
1,attempts_after_first_approval,1.79874797124971,3.648941736661757
1,seconds_since_previous_authorization,17941.28611175516,57260.2432783041
1,device_age_seconds,54550.43983306283,118895.26249299607
1,session_age_seconds,128.7741711105959,296.7013625274809
1,seconds_since_previous_session,39361.59795965685,79664.88669646198
1,sessions_24h,1.025272432181776,0.15696958044952417
1,sessions_7d,1.3130071875724554,0.6329394234236299
1,ip_changes_24h,0.27475075353582196,0.5713109369706116
1,devices_per_ip_5m,1.0013911430558775,0.03727639936160227
1,requests_per_ip_5m,1.81613725944818,1.194762539065706
1,same_card_retry_ratio_24h,0.22385372594481803,0.3780141709457692
1,card_switches_after_decline_24h,0.4400649200092743,1.0571293415490872
1,current_amount,9.65066543009506,7.65975911749127
1,amount_delta_from_previous,0.008325991189427326,8.058000258239892
1,amount_variation_24h,1.7803641003941575,3.1381689854948993
1,near_minimum_ratio_24h,0.04713488244841178,0.1480863513653757
1,prior_successful_checkouts,0.0677022953860422,0.27589915818773403
1,seconds_since_successful_checkout,10750.15001159286,46459.516171382245
1,campaign_active,0.23950846278692325,0.42683298872584285
2,prior_attempts_5m,1.4002341920374708,2.1929100478174393
2,prior_attempts_1h,1.6611241217798596,2.3490575456110157
2,prior_attempts_24h,1.81615925058548,2.5169691145252036
2,prior_attempts_7d,2.811241217798595,3.9214547744168953
2,prospective_requests_10s,1.5723653395784543,1.2935448062835937
2,prospective_requests_60s,2.0407494145199063,2.094897235036301
2,distinct_cards_5m,1.6070257611241219,1.1039431048818507
2,distinct_cards_1h,1.7166276346604215,1.1846523259050399
2,distinct_cards_24h,1.7798594847775175,1.2831747124342794
2,distinct_cards_7d,2.11288056206089,1.8360788808895425
