event_id,request_id,device_id,request_index,action,raw_probability,calibrated_probability,rule_score,accumulated_risk,high_risk_count,consecutive_high_count,evidence_count,reason_codes,fold
evt_0000003,req_0000002,dev_0000002,1,allow,0.246207051706,0.0280549214038,0,0.0280549214038,0,0,0,,0
evt_0000006,req_0000003,dev_0000003,1,allow,0.239247311511,0.0336490394132,0,0.0336490394132,0,0,0,,2
evt_0000017,req_0000007,dev_0000006,1,allow,0.24204189909,0.02655483037,0,0.02655483037,0,0,0,,1
evt_0000020,req_0000008,dev_0000007,1,allow,0.183646957094,0.0270926606321,0,0.0270926606321,0,0,0,,0
evt_0000023,req_0000009,dev_0000008,1,allow,0.255022361769,0.0831159150205,0,0.0831159150205,0,0,0,,4
evt_0000026,req_0000010,dev_0000008,2,allow,0.0625930650422,0,0,0.0375042184299,0,0,2,successful_checkout_risk_reduction|high_risk_with_card_diversity|cross_session_card_diversity,4
evt_0000029,req_0000011,dev_0000009,1,allow,0.213258715359,0.0264852227061,0,0.0264852227061,0,0,0,,1
evt_0000032,req_0000012,dev_0000009,2,allow,0.0750655245272,0,0,0.0108237276751,0,0,0,successful_checkout_risk_reduction,1
evt_0000040,req_0000015,dev_0000012,1,allow,0.239573633302,0.0336490394132,0,0.0336490394132,0,0,0,,2
evt_0000043,req_0000016,dev_0000013,1,allow,0.214533493357,0.0264852227061,0,0.0264852227061,0,0,0,,1
evt_0000046,req_0000017,dev_0000014,1,allow,0.247594521505,0.0280549214038,0,0.0280549214038,0,0,0,,0
evt_0000049,req_0000018,dev_0000015,1,allow,0.122994884378,0.00455306464127,0,0.00455306464127,0,0,0,,2
evt_0000052,req_0000019,dev_0000016,1,allow,0.164515013761,0.0270926606321,0,0.0270926606321,0,0,0,,0
evt_0000055,req_0000020,dev_0000017,1,allow,0.15736852586,0.0180526364926,0,0.0180526364926,0,0,0,,3
evt_0000058,req_0000021,dev_0000018,1,allow,0.230391518599,0.0282712587355,0,0.0282712587355,0,0,0,,4
evt_0000060,req_0000022,dev_0000018,2,allow,0.417702456727,0.0950889291634,0,0.120692148151,0,0,2,high_risk_with_card_diversity|cross_session_card_diversity,4
