candidate,family,pr_auc,roc_auc,brier,ece,log_loss
hist_gb_2,hist_gradient_boosting,0.9383526609123164,0.9790173126434821,0.04397164641679705,0.05538735245208372,0.1532347903124969
hist_gb_1,hist_gradient_boosting,0.9379921992099689,0.9793440149173664,0.0467814688617603,0.06555452820133469,0.16112574610569064
hist_gb_3,hist_gradient_boosting,0.9379507327463759,0.9790446086146958,0.04479673388555225,0.05866257130679438,0.1563925160668389
logistic_C5.0,logistic_regression,0.8724260078462234,0.9594353413499636,0.08804081455654064,0.10657716399711752,0.2582663183940477
logistic_C1.0,logistic_regression,0.8721216553023776,0.9591445691253294,0.08867487271868318,0.10886116453454536,0.2607416309343611
logistic_interactions_C1.0,logistic_interactions,0.871868410824904,0.9591419267141563,0.08859818183559728,0.1087805320201301,0.26038512703956185
logistic_interactions_C0.5,logistic_interactions,0.8710184008378057,0.9586043188473461,0.08907477889235255,0.11044695080377995,0.2624234723171905
logistic_C0.5,logistic_regression,0.8707302938204886,0.9584309983746473,0.08919121638880308,0.11057816286213541,0.26285148076174186
logistic_C0.1,logistic_regression,0.8663590812564086,0.9564510580170589,0.09130459922105887,0.11727139633991836,0.27222152592790555
logistic_interactions_C0.1,logistic_interactions,0.8656804522093797,0.9561031803146602,0.09114857412577787,0.11706994327978097,0.27166877023680736
logistic_interactions_C0.05,logistic_interactions,0.8631180751942762,0.9549062588696409,0.0924881826854137,0.12160916880238587,0.2780903218514957
logistic_C0.05,logistic_regression,0.8628959711198737,0.9548922247532032,0.09265090675055773,0.1218716363871944,0.2787256073690084
logistic_C0.01,logistic_regression,0.8551747691009457,0.9516834163334215,0.09799877507003776,0.14114147185255402,0.3042376717907251
